nxmax,nzmax,repeat,solver_time,hostname,benchmark,machine,code
80,60,repeat_0,1.5682,della-h12n17,benchmark_1,cpu,specfem++
80,60,repeat_1,1.56844,della-h12n17,benchmark_1,cpu,specfem++
80,60,repeat_2,1.5282,della-h12n17,benchmark_1,cpu,specfem++
80,60,repeat_3,2.21641,della-r2c2n7,benchmark_1,cpu,specfem++
80,60,repeat_4,1.56468,della-h12n17,benchmark_1,cpu,specfem++
160,120,repeat_0,6.51203,della-r2c3n14,benchmark_1,cpu,specfem++
160,120,repeat_1,6.73742,della-r2c2n6,benchmark_1,cpu,specfem++
160,120,repeat_2,5.39355,della-h12n17,benchmark_1,cpu,specfem++
160,120,repeat_3,5.45698,della-h12n17,benchmark_1,cpu,specfem++
160,120,repeat_4,6.45546,della-r2c3n14,benchmark_1,cpu,specfem++
320,240,repeat_0,18.9146,della-h12n17,benchmark_1,cpu,specfem++
320,240,repeat_1,23.1132,della-r2c2n7,benchmark_1,cpu,specfem++
320,240,repeat_2,21.3461,della-h12n17,benchmark_1,cpu,specfem++
320,240,repeat_3,20.2064,della-r2c2n6,benchmark_1,cpu,specfem++
320,240,repeat_4,19.6339,della-h12n17,benchmark_1,cpu,specfem++
640,480,repeat_0,80.3554,della-h12n17,benchmark_1,cpu,specfem++
640,480,repeat_1,69.7361,della-h12n17,benchmark_1,cpu,specfem++
640,480,repeat_2,77.9832,della-h12n17,benchmark_1,cpu,specfem++
640,480,repeat_3,71.3697,della-h12n17,benchmark_1,cpu,specfem++
640,480,repeat_4,71.1636,della-h12n17,benchmark_1,cpu,specfem++
1280,960,repeat_0,477.382,della-r2c2n10,benchmark_1,cpu,specfem++
1280,960,repeat_1,335.015,della-h12n17,benchmark_1,cpu,specfem++
1280,960,repeat_2,390.691,della-h12n17,benchmark_1,cpu,specfem++
1280,960,repeat_3,345.047,della-h12n17,benchmark_1,cpu,specfem++
1280,960,repeat_4,339.966,della-h12n17,benchmark_1,cpu,specfem++
80,60,repeat_0,0.0495401,della-l07g2,benchmark_1,gpu,specfem++
80,60,repeat_1,0.0496172,della-l07g2,benchmark_1,gpu,specfem++
80,60,repeat_2,0.0503602,della-l07g2,benchmark_1,gpu,specfem++
80,60,repeat_3,0.0505401,della-l07g2,benchmark_1,gpu,specfem++
80,60,repeat_4,0.0557159,della-l03g8,benchmark_1,gpu,specfem++
80,600,repeat_0,0.083362,della-l07g2,benchmark_1,gpu,specfem++
80,600,repeat_1,0.0873135,della-l03g8,benchmark_1,gpu,specfem++
80,600,repeat_2,0.0834054,della-l07g2,benchmark_1,gpu,specfem++
80,600,repeat_3,0.0868781,della-l03g8,benchmark_1,gpu,specfem++
80,600,repeat_4,0.085769,della-l07g2,benchmark_1,gpu,specfem++
800,600,repeat_0,0.473058,della-l07g2,benchmark_1,gpu,specfem++
800,600,repeat_1,0.476246,della-l07g2,benchmark_1,gpu,specfem++
800,600,repeat_2,0.481895,della-l03g8,benchmark_1,gpu,specfem++
800,600,repeat_3,0.477173,della-l07g2,benchmark_1,gpu,specfem++
800,600,repeat_4,0.47702,della-l07g2,benchmark_1,gpu,specfem++
800,3000,repeat_0,2.22547,della-l04g1,benchmark_1,gpu,specfem++
800,3000,repeat_1,2.22522,della-l03g8,benchmark_1,gpu,specfem++
800,3000,repeat_2,2.18049,della-l07g2,benchmark_1,gpu,specfem++
800,3000,repeat_3,2.2236,della-l03g8,benchmark_1,gpu,specfem++
800,3000,repeat_4,2.22523,della-l04g1,benchmark_1,gpu,specfem++
1600,3000,repeat_0,4.30986,della-l07g2,benchmark_1,gpu,specfem++
1600,3000,repeat_1,4.307,della-l07g2,benchmark_1,gpu,specfem++
1600,3000,repeat_2,4.40737,della-l03g8,benchmark_1,gpu,specfem++
1600,3000,repeat_3,4.40842,della-l03g8,benchmark_1,gpu,specfem++
1600,3000,repeat_4,4.30752,della-l07g2,benchmark_1,gpu,specfem++
160,120,repeat_0,3.91578,della-h12n17,benchmark_2,cpu,specfem++
160,120,repeat_1,3.77078,della-h12n17,benchmark_2,cpu,specfem++
160,120,repeat_2,4.492,della-h12n17,benchmark_2,cpu,specfem++
160,120,repeat_3,3.9093,della-h12n17,benchmark_2,cpu,specfem++
160,120,repeat_4,3.75051,della-h12n17,benchmark_2,cpu,specfem++
320,240,repeat_0,13.3827,della-h12n17,benchmark_2,cpu,specfem++
320,240,repeat_1,17.1976,della-r2c3n14,benchmark_2,cpu,specfem++
320,240,repeat_2,13.5699,della-h12n17,benchmark_2,cpu,specfem++
320,240,repeat_3,13.5033,della-h12n17,benchmark_2,cpu,specfem++
320,240,repeat_4,17.6038,della-r2c2n6,benchmark_2,cpu,specfem++
640,480,repeat_0,68.2377,della-h12n17,benchmark_2,cpu,specfem++
640,480,repeat_1,85.434,della-r2c2n7,benchmark_2,cpu,specfem++
640,480,repeat_2,63.1008,della-h12n17,benchmark_2,cpu,specfem++
640,480,repeat_3,74.9244,della-r2c3n14,benchmark_2,cpu,specfem++
640,480,repeat_4,92.1762,della-r2c3n8,benchmark_2,cpu,specfem++
1280,960,repeat_0,304.592,della-h12n17,benchmark_2,cpu,specfem++
1280,960,repeat_1,269.979,della-h12n17,benchmark_2,cpu,specfem++
1280,960,repeat_2,305.067,della-h12n17,benchmark_2,cpu,specfem++
1280,960,repeat_3,404.717,della-r2c3n8,benchmark_2,cpu,specfem++
1280,960,repeat_4,281.054,della-h12n17,benchmark_2,cpu,specfem++
2560,1920,repeat_0,1234.74,della-h12n17,benchmark_2,cpu,specfem++
2560,1920,repeat_1,1104.71,della-h12n17,benchmark_2,cpu,specfem++
2560,1920,repeat_2,1605.41,della-r3c3n14,benchmark_2,cpu,specfem++
2560,1920,repeat_3,1049.39,della-h12n17,benchmark_2,cpu,specfem++
2560,1920,repeat_4,1111.61,della-h12n17,benchmark_2,cpu,specfem++
80,60,repeat_0,0.0602112,della-l07g2,benchmark_2,gpu,specfem++
80,60,repeat_1,0.066627,della-l03g8,benchmark_2,gpu,specfem++
80,60,repeat_2,0.0619479,della-l07g2,benchmark_2,gpu,specfem++
80,60,repeat_3,0.062546,della-l07g2,benchmark_2,gpu,specfem++
80,60,repeat_4,0.0664187,della-l03g8,benchmark_2,gpu,specfem++
80,600,repeat_0,0.094539,della-l07g2,benchmark_2,gpu,specfem++
80,600,repeat_1,0.0965088,della-l03g8,benchmark_2,gpu,specfem++
80,600,repeat_2,0.0926684,della-l07g2,benchmark_2,gpu,specfem++
80,600,repeat_3,0.095971,della-l03g8,benchmark_2,gpu,specfem++
80,600,repeat_4,0.0945986,della-l07g2,benchmark_2,gpu,specfem++
800,600,repeat_0,0.366449,della-l07g2,benchmark_2,gpu,specfem++
800,600,repeat_1,0.368396,della-l07g2,benchmark_2,gpu,specfem++
800,600,repeat_2,0.369422,della-l03g8,benchmark_2,gpu,specfem++
800,600,repeat_3,0.368118,della-l07g2,benchmark_2,gpu,specfem++
800,600,repeat_4,0.367504,della-l07g2,benchmark_2,gpu,specfem++
800,3000,repeat_0,1.61397,della-l03g8,benchmark_2,gpu,specfem++
800,3000,repeat_1,1.61385,della-l04g1,benchmark_2,gpu,specfem++
800,3000,repeat_2,1.58805,della-l07g2,benchmark_2,gpu,specfem++
800,3000,repeat_3,1.61169,della-l03g8,benchmark_2,gpu,specfem++
800,3000,repeat_4,1.5882,della-l07g2,benchmark_2,gpu,specfem++
1600,3000,repeat_0,3.11241,della-l07g2,benchmark_2,gpu,specfem++
1600,3000,repeat_1,3.10753,della-l07g2,benchmark_2,gpu,specfem++
1600,3000,repeat_2,3.16922,della-l03g16,benchmark_2,gpu,specfem++
1600,3000,repeat_3,3.11088,della-l07g2,benchmark_2,gpu,specfem++
1600,3000,repeat_4,3.10843,della-l07g2,benchmark_2,gpu,specfem++
144,108,repeat_0,4.37483,della-h17n4,benchmark_3,cpu,specfem++
144,108,repeat_1,4.35163,della-h17n4,benchmark_3,cpu,specfem++
144,108,repeat_2,5.5284,della-h12n17,benchmark_3,cpu,specfem++
144,108,repeat_3,4.6702,della-h17n4,benchmark_3,cpu,specfem++
144,108,repeat_4,4.8417,della-h12n17,benchmark_3,cpu,specfem++
288,216,repeat_0,17.025,della-h12n17,benchmark_3,cpu,specfem++
288,216,repeat_1,17.0878,della-h12n17,benchmark_3,cpu,specfem++
288,216,repeat_2,14.1101,della-h17n4,benchmark_3,cpu,specfem++
288,216,repeat_3,14.7608,della-h12n17,benchmark_3,cpu,specfem++
288,216,repeat_4,17.1017,della-h12n17,benchmark_3,cpu,specfem++
576,432,repeat_0,58.1416,della-h12n17,benchmark_3,cpu,specfem++
576,432,repeat_1,54.3128,della-h12n17,benchmark_3,cpu,specfem++
576,432,repeat_2,47.9251,della-h17n4,benchmark_3,cpu,specfem++
576,432,repeat_3,59.5044,della-h12n17,benchmark_3,cpu,specfem++
576,432,repeat_4,54.6911,della-h12n17,benchmark_3,cpu,specfem++
1152,864,repeat_0,186.221,della-h17n4,benchmark_3,cpu,specfem++
1152,864,repeat_1,204.036,della-h17n4,benchmark_3,cpu,specfem++
1152,864,repeat_2,271.045,della-h12n17,benchmark_3,cpu,specfem++
1152,864,repeat_3,253.507,della-h12n17,benchmark_3,cpu,specfem++
1152,864,repeat_4,199.175,della-h17n4,benchmark_3,cpu,specfem++
2304,1728,repeat_0,1343.75,della-h12n17,benchmark_3,cpu,specfem++
2304,1728,repeat_1,1310.81,della-h12n17,benchmark_3,cpu,specfem++
2304,1728,repeat_2,1317.82,della-h12n17,benchmark_3,cpu,specfem++
2304,1728,repeat_3,1258.64,della-r2c3n1,benchmark_3,cpu,specfem++
2304,1728,repeat_4,911.179,della-h17n4,benchmark_3,cpu,specfem++
144,108,repeat_0,0.127049,della-l04g14,benchmark_3,gpu,specfem++
144,108,repeat_1,0.125991,della-l04g14,benchmark_3,gpu,specfem++
144,108,repeat_2,0.128708,della-l07g6,benchmark_3,gpu,specfem++
144,108,repeat_3,0.130177,della-l07g5,benchmark_3,gpu,specfem++
144,108,repeat_4,0.126707,della-l04g14,benchmark_3,gpu,specfem++
144,1080,repeat_0,0.248526,della-l07g6,benchmark_3,gpu,specfem++
144,1080,repeat_1,0.253356,della-l07g6,benchmark_3,gpu,specfem++
144,1080,repeat_2,0.243476,della-l03g16,benchmark_3,gpu,specfem++
144,1080,repeat_3,0.25354,della-l07g5,benchmark_3,gpu,specfem++
144,1080,repeat_4,0.253996,della-l07g6,benchmark_3,gpu,specfem++
720,1080,repeat_0,0.721752,della-l07g5,benchmark_3,gpu,specfem++
720,1080,repeat_1,0.725033,della-l07g6,benchmark_3,gpu,specfem++
720,1080,repeat_2,0.72722,della-l07g5,benchmark_3,gpu,specfem++
720,1080,repeat_3,0.72476,della-l07g6,benchmark_3,gpu,specfem++
720,1080,repeat_4,0.725083,della-l07g6,benchmark_3,gpu,specfem++
1440,2160,repeat_0,2.5412,della-l03g16,benchmark_3,gpu,specfem++
1440,2160,repeat_1,2.54169,della-l03g16,benchmark_3,gpu,specfem++
1440,2160,repeat_2,2.49282,della-l07g2,benchmark_3,gpu,specfem++
1440,2160,repeat_3,2.49401,della-l07g6,benchmark_3,gpu,specfem++
1440,2160,repeat_4,2.54317,della-l04g9,benchmark_3,gpu,specfem++
1440,5400,repeat_0,6.05771,della-l07g2,benchmark_3,gpu,specfem++
1440,5400,repeat_1,6.17757,della-l04g14,benchmark_3,gpu,specfem++
1440,5400,repeat_2,6.06221,della-l07g6,benchmark_3,gpu,specfem++
1440,5400,repeat_3,6.18506,della-l04g9,benchmark_3,gpu,specfem++
1440,5400,repeat_4,6.17967,della-l04g14,benchmark_3,gpu,specfem++
80,60,repeat_0,1.09573698,della-r2c2n1,benchmark_1,cpu,specfem2d
80,60,repeat_1,1.06805491,della-r2c3n14,benchmark_1,cpu,specfem2d
80,60,repeat_2,0.899686933,della-h12n17,benchmark_1,cpu,specfem2d
80,60,repeat_3,1.14950788,della-r3c4n8,benchmark_1,cpu,specfem2d
80,60,repeat_4,1.082111,della-r2c2n7,benchmark_1,cpu,specfem2d
160,120,repeat_0,3.73830581,della-h12n17,benchmark_1,cpu,specfem2d
160,120,repeat_1,4.48780918,della-r2c2n16,benchmark_1,cpu,specfem2d
160,120,repeat_2,4.3135438,della-r3c4n8,benchmark_1,cpu,specfem2d
160,120,repeat_3,4.60215712,della-r2c4n6,benchmark_1,cpu,specfem2d
160,120,repeat_4,4.21594906,della-r2c3n14,benchmark_1,cpu,specfem2d
320,240,repeat_0,19.1097145,della-r3c3n4,benchmark_1,cpu,specfem2d
320,240,repeat_1,20.2644005,della-r3c4n8,benchmark_1,cpu,specfem2d
320,240,repeat_2,17.9154739,della-r2c3n14,benchmark_1,cpu,specfem2d
320,240,repeat_3,15.6149225,della-h12n17,benchmark_1,cpu,specfem2d
320,240,repeat_4,19.9977112,della-r3c3n4,benchmark_1,cpu,specfem2d
640,480,repeat_0,73.8688889,della-r2c2n1,benchmark_1,cpu,specfem2d
640,480,repeat_1,72.8423615,della-r2c3n14,benchmark_1,cpu,specfem2d
640,480,repeat_2,62.6300201,della-h12n17,benchmark_1,cpu,specfem2d
640,480,repeat_3,70.6048965,della-r3c4n8,benchmark_1,cpu,specfem2d
640,480,repeat_4,73.126358,della-r2c2n7,benchmark_1,cpu,specfem2d
1280,960,repeat_0,282.044006,della-r2c3n14,benchmark_1,cpu,specfem2d
1280,960,repeat_1,255.791275,della-h12n17,benchmark_1,cpu,specfem2d
1280,960,repeat_2,292.293915,della-r2c2n7,benchmark_1,cpu,specfem2d
1280,960,repeat_3,253.289734,della-h12n17,benchmark_1,cpu,specfem2d
1280,960,repeat_4,251.385284,della-h12n17,benchmark_1,cpu,specfem2d
80,60,repeat_0,0.0279945377,della-l07g4,benchmark_1,gpu,specfem2d
80,60,repeat_1,0.0257487092,della-l07g5,benchmark_1,gpu,specfem2d
80,60,repeat_2,0.0368526354,della-l07g2,benchmark_1,gpu,specfem2d
80,60,repeat_3,0.0294683836,della-l07g4,benchmark_1,gpu,specfem2d
80,60,repeat_4,0.0237117372,della-l07g3,benchmark_1,gpu,specfem2d
80,600,repeat_0,0.057134904,della-l07g5,benchmark_1,gpu,specfem2d
80,600,repeat_1,0.0569162369,della-l07g2,benchmark_1,gpu,specfem2d
80,600,repeat_2,0.0565983914,della-l07g4,benchmark_1,gpu,specfem2d
80,600,repeat_3,0.0554306209,della-l07g2,benchmark_1,gpu,specfem2d
80,600,repeat_4,0.0619649664,della-l07g2,benchmark_1,gpu,specfem2d
800,600,repeat_0,0.335047305,della-l07g2,benchmark_1,gpu,specfem2d
800,600,repeat_1,0.332357615,della-l07g2,benchmark_1,gpu,specfem2d
800,600,repeat_2,0.334132105,della-l07g2,benchmark_1,gpu,specfem2d
800,600,repeat_3,0.333596855,della-l07g2,benchmark_1,gpu,specfem2d
800,600,repeat_4,0.337223709,della-l07g2,benchmark_1,gpu,specfem2d
800,3000,repeat_0,1.55118346,della-l07g2,benchmark_1,gpu,specfem2d
800,3000,repeat_1,1.55240774,della-l07g5,benchmark_1,gpu,specfem2d
800,3000,repeat_2,1.54889846,della-l07g2,benchmark_1,gpu,specfem2d
800,3000,repeat_3,1.54389572,della-l07g2,benchmark_1,gpu,specfem2d
800,3000,repeat_4,1.53980029,della-l07g3,benchmark_1,gpu,specfem2d
1600,3000,repeat_0,3.07679725,della-l07g2,benchmark_1,gpu,specfem2d
1600,3000,repeat_1,3.08543706,della-l07g2,benchmark_1,gpu,specfem2d
1600,3000,repeat_2,3.07775879,della-l07g2,benchmark_1,gpu,specfem2d
1600,3000,repeat_3,3.07542038,della-l07g2,benchmark_1,gpu,specfem2d
1600,3000,repeat_4,3.07564902,della-l07g2,benchmark_1,gpu,specfem2d
160,120,repeat_0,1.92366207,della-h12n17,benchmark_2,cpu,specfem2d
160,120,repeat_1,2.20413017,della-r2c2n7,benchmark_2,cpu,specfem2d
160,120,repeat_2,1.956231,della-h12n17,benchmark_2,cpu,specfem2d
160,120,repeat_3,2.44526601,della-r3c4n8,benchmark_2,cpu,specfem2d
160,120,repeat_4,1.92547107,della-h12n17,benchmark_2,cpu,specfem2d
320,240,repeat_0,8.31778526,della-h12n17,benchmark_2,cpu,specfem2d
320,240,repeat_1,8.04238701,della-h12n17,benchmark_2,cpu,specfem2d
320,240,repeat_2,7.87779284,della-h12n17,benchmark_2,cpu,specfem2d
320,240,repeat_3,9.00856209,della-r2c2n7,benchmark_2,cpu,specfem2d
320,240,repeat_4,7.91567087,della-h12n17,benchmark_2,cpu,specfem2d
640,480,repeat_0,32.0464211,della-h12n17,benchmark_2,cpu,specfem2d
640,480,repeat_1,32.1620255,della-h12n17,benchmark_2,cpu,specfem2d
640,480,repeat_2,36.4870911,della-r2c2n7,benchmark_2,cpu,specfem2d
640,480,repeat_3,32.3100967,della-h12n17,benchmark_2,cpu,specfem2d
640,480,repeat_4,40.2772598,della-r3c4n8,benchmark_2,cpu,specfem2d
1280,960,repeat_0,128.764938,della-h12n17,benchmark_2,cpu,specfem2d
1280,960,repeat_1,146.572983,della-r2c2n7,benchmark_2,cpu,specfem2d
1280,960,repeat_2,130.527786,della-h12n17,benchmark_2,cpu,specfem2d
1280,960,repeat_3,145.288986,della-h12n17,benchmark_2,cpu,specfem2d
1280,960,repeat_4,128.242371,della-h12n17,benchmark_2,cpu,specfem2d
2560,1920,repeat_0,529.877319,della-h12n17,benchmark_2,cpu,specfem2d
2560,1920,repeat_1,528.687988,della-h12n17,benchmark_2,cpu,specfem2d
2560,1920,repeat_2,588.169739,della-h12n17,benchmark_2,cpu,specfem2d
2560,1920,repeat_3,639.744263,della-r3c4n8,benchmark_2,cpu,specfem2d
2560,1920,repeat_4,649.140686,della-r3c4n8,benchmark_2,cpu,specfem2d
80,60,repeat_0,0.0243003741,della-l07g2,benchmark_2,gpu,specfem2d
80,60,repeat_1,0.0242233947,della-l04g5,benchmark_2,gpu,specfem2d
80,60,repeat_2,0.0344821662,della-l07g2,benchmark_2,gpu,specfem2d
80,60,repeat_3,0.023735173,della-l07g2,benchmark_2,gpu,specfem2d
80,60,repeat_4,0.0251287781,della-l07g5,benchmark_2,gpu,specfem2d
80,600,repeat_0,0.0457109176,della-l04g5,benchmark_2,gpu,specfem2d
80,600,repeat_1,0.0427209921,della-l03g8,benchmark_2,gpu,specfem2d
80,600,repeat_2,0.0443094559,della-l07g2,benchmark_2,gpu,specfem2d
80,600,repeat_3,0.0556139834,della-l07g2,benchmark_2,gpu,specfem2d
80,600,repeat_4,0.0423411131,della-l04g5,benchmark_2,gpu,specfem2d
800,600,repeat_0,0.257257462,della-l07g2,benchmark_2,gpu,specfem2d
800,600,repeat_1,0.253815413,della-l07g2,benchmark_2,gpu,specfem2d
800,600,repeat_2,0.249978751,della-l04g5,benchmark_2,gpu,specfem2d
800,600,repeat_3,0.251684248,della-l03g8,benchmark_2,gpu,specfem2d
800,600,repeat_4,0.259069324,della-l07g2,benchmark_2,gpu,specfem2d
800,3000,repeat_0,1.15269911,della-l07g2,benchmark_2,gpu,specfem2d
800,3000,repeat_1,1.1766572,della-l04g5,benchmark_2,gpu,specfem2d
800,3000,repeat_2,1.18413198,della-l03g8,benchmark_2,gpu,specfem2d
800,3000,repeat_3,1.15852284,della-l07g2,benchmark_2,gpu,specfem2d
800,3000,repeat_4,1.15404689,della-l07g5,benchmark_2,gpu,specfem2d
1600,3000,repeat_0,2.31585526,della-l04g5,benchmark_2,gpu,specfem2d
1600,3000,repeat_1,2.31400371,della-l03g8,benchmark_2,gpu,specfem2d
1600,3000,repeat_2,2.27742267,della-l07g2,benchmark_2,gpu,specfem2d
1600,3000,repeat_3,2.31553435,della-l04g5,benchmark_2,gpu,specfem2d
1600,3000,repeat_4,2.3138628,della-l04g5,benchmark_2,gpu,specfem2d
144,108,repeat_0,3.18444729,della-r2c3n14,benchmark_3,cpu,specfem2d
144,108,repeat_1,3.3653419,della-r2c4n12,benchmark_3,cpu,specfem2d
144,108,repeat_2,2.76702213,della-h12n17,benchmark_3,cpu,specfem2d
144,108,repeat_3,2.66241693,della-h12n17,benchmark_3,cpu,specfem2d
144,108,repeat_4,3.28813314,della-r2c1n10,benchmark_3,cpu,specfem2d
288,216,repeat_0,11.5249672,della-h12n17,benchmark_3,cpu,specfem2d
288,216,repeat_1,12.2624512,della-h12n17,benchmark_3,cpu,specfem2d
288,216,repeat_2,11.777916,della-h12n17,benchmark_3,cpu,specfem2d
288,216,repeat_3,15.043251,della-r2c2n10,benchmark_3,cpu,specfem2d
288,216,repeat_4,12.5596523,della-r3c4n14,benchmark_3,cpu,specfem2d
576,432,repeat_0,48.7540894,della-h12n17,benchmark_3,cpu,specfem2d
576,432,repeat_1,48.7535515,della-h12n17,benchmark_3,cpu,specfem2d
576,432,repeat_2,53.4027672,della-r2c4n12,benchmark_3,cpu,specfem2d
576,432,repeat_3,45.8586464,della-h12n17,benchmark_3,cpu,specfem2d
576,432,repeat_4,44.5265961,della-h12n17,benchmark_3,cpu,specfem2d
1152,864,repeat_0,208.66449,della-r2c3n14,benchmark_3,cpu,specfem2d
1152,864,repeat_1,200.799164,della-r3c4n14,benchmark_3,cpu,specfem2d
1152,864,repeat_2,184.651337,della-h12n17,benchmark_3,cpu,specfem2d
1152,864,repeat_3,180.417084,della-h12n17,benchmark_3,cpu,specfem2d
1152,864,repeat_4,215.092651,della-r2c1n10,benchmark_3,cpu,specfem2d
2304,1728,repeat_0,862.651184,della-r2c4n4,benchmark_3,cpu,specfem2d
2304,1728,repeat_1,774.785034,della-h12n17,benchmark_3,cpu,specfem2d
2304,1728,repeat_2,718.19043,della-h12n17,benchmark_3,cpu,specfem2d
2304,1728,repeat_3,719.477783,della-h12n17,benchmark_3,cpu,specfem2d
2304,1728,repeat_4,804.615662,della-h12n17,benchmark_3,cpu,specfem2d
144,108,repeat_0,0.282616377,della-l01g5,benchmark_3,gpu,specfem2d
144,108,repeat_1,0.276830018,della-l07g2,benchmark_3,gpu,specfem2d
144,108,repeat_2,0.348996758,della-l07g2,benchmark_3,gpu,specfem2d
144,108,repeat_3,0.316171259,della-l07g4,benchmark_3,gpu,specfem2d
144,108,repeat_4,0.469730258,della-l07g4,benchmark_3,gpu,specfem2d
144,1080,repeat_0,0.475235999,della-l01g9,benchmark_3,gpu,specfem2d
144,1080,repeat_1,0.39317286,della-l01g9,benchmark_3,gpu,specfem2d
144,1080,repeat_2,0.430687249,della-l01g9,benchmark_3,gpu,specfem2d
144,1080,repeat_3,0.342572808,della-l01g14,benchmark_3,gpu,specfem2d
144,1080,repeat_4,0.347983241,della-l01g9,benchmark_3,gpu,specfem2d
720,1080,repeat_0,0.9055233,della-l07g2,benchmark_3,gpu,specfem2d
720,1080,repeat_1,0.866001368,della-l07g4,benchmark_3,gpu,specfem2d
720,1080,repeat_2,1.13986373,della-l06g12,benchmark_3,gpu,specfem2d
720,1080,repeat_3,0.826778948,della-l01g9,benchmark_3,gpu,specfem2d
720,1080,repeat_4,0.892191768,della-l07g2,benchmark_3,gpu,specfem2d
1440,2160,repeat_0,2.68423295,della-l01g5,benchmark_3,gpu,specfem2d
1440,2160,repeat_1,2.6295054,della-l07g2,benchmark_3,gpu,specfem2d
1440,2160,repeat_2,2.59470177,della-l07g2,benchmark_3,gpu,specfem2d
1440,2160,repeat_3,2.66864014,della-l01g3,benchmark_3,gpu,specfem2d
1440,2160,repeat_4,2.65113807,della-l01g3,benchmark_3,gpu,specfem2d
1440,5400,repeat_0,6.28705072,della-l01g8,benchmark_3,gpu,specfem2d
1440,5400,repeat_1,6.28210449,della-l01g9,benchmark_3,gpu,specfem2d
1440,5400,repeat_2,6.01408386,della-l07g4,benchmark_3,gpu,specfem2d
1440,5400,repeat_3,6.08736086,della-l07g2,benchmark_3,gpu,specfem2d
1440,5400,repeat_4,6.45590734,della-l01g9,benchmark_3,gpu,specfem2d
